Codigo;UF;Municipios;Pop2000;Homens;Mulheres;Urbana;Rural;Pop2010;Pop2021
1100015;RO;Alta Floresta DOeste;26533;12670;11752;13992;10430;24422;22516
1100023;RO;Ariquemes;74503;45538;44816;69606;20748;90354;111148
1100031;RO;Cabixi;7518;3262;3047;2693;3616;6309;5067
1100049;RO;Cacoal;73568;39155;39446;61931;16670;78601;86416
1100056;RO;Cerejeiras;18207;8552;8478;14420;2610;17030;16088
1100064;RO;Colorado do Oeste;21892;9333;9269;13666;4936;18602;15213
1100072;RO;Corumbiara;10459;4722;4080;2590;6212;8802;7052
1100080;RO;Costa Marques;10208;7209;6491;7504;6196;13700;19255
1100098;RO;Espigão DOeste;25688;14633;14108;20629;8112;28741;33009
1100106;RO;Guajará-Mirim;38045;20940;20706;35197;6449;41646;46930
1100114;RO;Jaru;53600;26037;26006;35141;16902;52043;51469
1100122;RO;Ji-Paraná;106800;57834;58753;104841;11746;116587;131026
1100130;RO;Machadinho DOeste;22739;16519;14588;16176;14931;31107;41724
1100148;RO;Nova Brasilândia DOeste;17067;10328;9517;8370;11475;19845;20504
1100155;RO;Ouro Preto do Oeste;40884;18709;19232;28208;9733;37941;35445
1100189;RO;Pimenta Bueno;31752;17010;16744;29358;4396;33754;37098
1100205;RO;Porto Velho;334661;215561;210997;391014;35544;426558;548952
1100254;RO;Presidente Médici;26365;11316;11003;13296;9023;22319;18165
1100262;RO;Rio Crespo;2937;1767;1549;1064;2252;3316;3843
1100288;RO;Rolim de Moura;47382;25178;25494;41454;9218;50672;55748
1100296;RO;Santa Luzia DOeste;11603;4596;4290;4525;4361;8886;5942
1100304;RO;Vilhena;53598;37779;38408;72212;3975;76187;104517
1100320;RO;São Miguel do Guaporé;23874;11327;10497;8471;13353;21824;23147
1100338;RO;Nova Mamoré;14778;11738;10814;13069;9483;22552;32184
1100346;RO;Alvorada DOeste;19832;8677;8187;8837;8027;16864;13807
1100379;RO;Alto Alegre dos Parecis;12708;6746;6080;3665;9161;12826;13268
1100403;RO;Alto Paraíso;13118;9025;8119;8216;8928;17144;22258
1100452;RO;Buritis;25668;16746;15639;18113;14272;32385;41043
1100502;RO;Novo Horizonte do Oeste;12276;5333;4904;1732;8505;10237;8125
1100601;RO;Cacaulândia;5372;2960;2767;2068;3659;5727;6307
1100700;RO;Campo Novo de Rondônia;11463;6770;5899;3371;9298;12669;14391
1100809;RO;Candeias do Jamari;13107;10327;9455;12898;6884;19782;28068
1100908;RO;Castanheiras;4212;1831;1750;842;2739;3581;2923
1100924;RO;Chupinguaia;5521;4409;3895;3670;4634;8304;11755
1100940;RO;Cujubim;6536;8476;7397;11065;4808;15873;27131
1101005;RO;Governador Jorge Teixeira;13641;5471;5042;2361;8152;10513;7130
1101104;RO;Itapuã do Oeste;6822;4563;3998;5220;3341;8561;10819
1101203;RO;Ministro Andreazza;11342;5306;5048;3074;7280;10354;9461
1101302;RO;Mirante da Serra;13154;6057;5812;6432;5437;11869;10691
1101401;RO;Monte Negro;12627;7407;6683;7387;6703;14090;16158
1101435;RO;Nova União;8233;4003;3495;1540;5958;7498;6822
1101450;RO;Parecis;3622;2596;2214;1774;3036;4810;6319
1101468;RO;Pimenteiras do Oeste;2527;1223;1099;1297;1025;2322;2127
1101476;RO;Primavera de Rondônia;4311;1856;1667;1282;2241;3523;2697
1101484;RO;São Felipe DOeste;7056;3086;2932;1444;4574;6018;4962
1101492;RO;São Francisco do Guaporé;11085;8410;7609;8227;7792;16019;21088
1101500;RO;Seringueiras;11655;6090;5559;4407;7242;11649;11846
1101559;RO;Teixeirópolis;5618;2544;2349;1718;3175;4893;4160
1101609;RO;Theobroma;11140;5649;4995;1980;8664;10644;10348
1101708;RO;Urupá;14880;6729;6240;5141;7828;12969;11081
1101757;RO;Vale do Anari;7737;4972;4389;3184;6177;9361;11545
1101807;RO;Vale do Paraíso;9863;4249;3969;2276;5942;8218;6490
1200013;AC;Acrelândia;7935;6597;5941;5916;6622;12538;15721
1200054;AC;Assis Brasil;3490;3091;2984;3703;2372;6075;7649
1200104;AC;Brasiléia;17013;11060;10378;14299;7139;21438;27123
1200138;AC;Bujari;5826;4560;3914;3681;4793;8474;10572
1200179;AC;Capixaba;5206;4658;4152;3928;4882;8810;12280
1200203;AC;Cruzeiro do Sul;67441;39185;39259;55259;23185;78444;89760
1200252;AC;Epitaciolândia;11028;7636;7490;10622;4504;15126;18979
1200302;AC;Feijó;26722;16660;15651;16635;15676;32311;34986
1200328;AC;Jordão;4454;3396;3135;2265;4266;6531;8628
1200336;AC;Mâncio Lima;11095;7856;7390;8782;6464;15246;19643
1200344;AC;Manoel Urbano;6374;4256;3733;5285;2704;7989;9701
1200351;AC;Marechal Thaumaturgo;8295;7437;6763;3971;10229;14200;19727
1200385;AC;Plácido de Castro;15172;8997;8206;10390;6813;17203;20147
1200393;AC;Porto Walter;5485;4791;4381;3317;5855;9172;12497
1200401;AC;Rio Branco;253059;163396;172400;308418;27378;335796;419452
1200427;AC;Rodrigues Alves;8093;7450;6884;4325;10009;14334;19767
1200435;AC;Santa Rosa do Purus;2246;2373;2239;1894;2718;4612;6893
1200450;AC;Senador Guiomard;19761;10328;9825;12670;7483;20153;23446
1200500;AC;Sena Madureira;29420;19704;18289;25132;12861;37993;47168
1200609;AC;Tarauacá;26037;18317;17209;19363;16163;35526;43730
1200708;AC;Xapuri;11956;8310;7706;10270;5746;16016;19866
1200807;AC;Porto Acre;11418;7806;7000;1955;12851;14806;19141
1300029;AM;Alvarães;12150;7408;6672;7878;6202;14080;16396
1300060;AM;Amaturá;7308;4986;4671;4945;4712;9657;11934
1300086;AM;Anamã;6563;5434;4759;4174;6019;10193;14292
1300102;AM;Anori;11320;8497;7792;9989;6300;16289;21937
1300144;AM;Apuí;13864;9571;8488;10606;7453;18059;22739
1300201;AM;Atalaia do Norte;10049;7851;7298;6891;8258;15149;20868
1300300;AM;Autazes;24345;16829;15047;13885;17991;31876;41005
1300409;AM;Barcelos;24197;13814;11901;11160;14555;25715;27772
1300508;AM;Barreirinha;22579;14316;13045;12422;14939;27361;32919
1300607;AM;Benjamin Constant;23219;17246;16145;20132;13259;33391;44873
1300631;AM;Beruri;11038;8153;7347;7795;7705;15500;20503
1300680;AM;Boa Vista do Ramos;10482;7948;6973;7521;7400;14921;20040
1300706;AM;Boca do Acre;26959;15545;14335;19273;10607;29880;34958
1300805;AM;Borba;28619;17953;16499;14409;20043;34452;42328
1300839;AM;Caapiranga;8803;5776;5133;5140;5769;10909;13482
1300904;AM;Canutama;10737;6868;5859;6682;6045;12727;15981
1301001;AM;Carauari;23421;13195;12505;19754;5946;25700;28719
1301100;AM;Careiro;27554;16922;15709;9440;23191;32631;38820
1301159;AM;Careiro da Várzea;17267;12707;11256;1000;22963;23963;31459
1301209;AM;Coari;67096;39429;36480;49638;26271;75909;86713
1301308;AM;Codajás;17507;12029;11090;15808;7311;23119;29691
1301407;AM;Eirunepé;26074;15791;14875;22178;8488;30666;36121
1301506;AM;Envira;19060;8395;7933;10553;5775;16328;20748
1301605;AM;Fonte Boa;31509;11744;10915;15039;7620;22659;16409
1301654;AM;Guajará;13220;7340;6734;7457;6617;14074;17193
1301704;AM;Humaitá;32796;23115;21001;30475;13641;44116;57195
1301803;AM;Ipixuna;14759;11331;10868;9452;12747;22199;31172
1301852;AM;Iranduba;32303;20976;19759;28928;11807;40735;49718
1301902;AM;Itacoatiara;72105;44419;42421;58175;28665;86840;104046
1301951;AM;Itamarati;8406;4238;3802;4474;3566;8040;7777
1302009;AM;Itapiranga;7309;4297;3903;6447;1753;8200;9312
1302108;AM;Japurá;10285;3804;3485;3319;3970;7289;1755
1302207;AM;Juruá;6584;5564;5258;5686;5136;10822;15495
1302306;AM;Jutaí;22500;9416;8548;10559;7405;17964;13462
1302405;AM;Lábrea;28956;19586;17988;24223;13351;37574;47685
1302504;AM;Manacapuru;73695;43429;41715;60178;24966;85144;99613
1302553;AM;Manaquiri;12711;11747;11060;7068;15739;22807;33981
1302603;AM;Manaus;1405835;879893;922632;1793416;9109;1802525;2255903
1302702;AM;Manicoré;38038;24681;22330;20347;26664;47011;57405
1302801;AM;Maraã;17079;9339;8025;8759;8605;17364;18298
1302900;AM;Maués;40036;27084;24763;25836;26011;51847;66159
1303007;AM;Nhamundá;15355;9496;8782;7010;11268;18278;21710
1303106;AM;Nova Olinda do Norte;23725;15782;14979;13648;17113;30761;38665
1303205;AM;Novo Airão;9651;7655;7125;9490;5290;14780;20395
1303304;AM;Novo Aripuanã;17119;11405;9984;14079;7310;21389;26443
1303403;AM;Parintins;90150;52318;49748;69905;32161;102066;116439
1303502;AM;Pauini;17092;9485;8668;9264;8889;18153;19616
1303536;AM;Presidente Figueiredo;17394;14321;12800;12999;14122;27121;38095
1303569;AM;Rio Preto da Eva;17582;13416;12342;12244;13514;25758;34856
1303601;AM;Santa Isabel do Rio Negro;10561;9315;8818;6858;11275;18133;26566
1303700;AM;Santo Antônio do Içá;28213;12591;11896;12954;11533;24487;20889
1303809;AM;São Gabriel da Cachoeira;29947;19144;18156;19001;18299;37300;47031
1303908;AM;São Paulo de Olivença;23113;16268;15158;14267;17159;31426;40837
1303957;AM;São Sebastião do Uatumã;7160;5670;5018;5907;4781;10688;14678
1304005;AM;Silves;7785;4500;3945;4033;4412;8445;9289
1304062;AM;Tabatinga;37919;26347;25932;36371;15908;52279;68502
1304104;AM;Tapauá;20595;10075;9002;10618;8459;19077;16876
1304203;AM;Tefé;64457;31492;29907;50072;11327;61399;59250
1304237;AM;Tonantins;15512;8767;8289;8903;8153;17056;19038
1304260;AM;Uarini;10254;6319;5587;6799;5107;11906;13839
